Eid	isSeed
51099	1
1636	1
59272	1
48	1
94	1
79924	1
135	1
177	1
185	1
207	1
658	1
240	1
386724	1
284	1
285	1
51378	1
9068	1
55107	1
8862	1
187	1
348	1
383	1
384	1
23365	1
10425	1
468	1
22926	1
79895	1
724066	1
6315	1
8412	1
596	1
331	1
27302	1
650	1
652	1
654	1
655	1
2658	1
657	1
658	1
659	1
60500	1
23476	1
718	1
775	1
823	1
826	1
841	1
842	1
846	1
857	1
147381	1
6347	1
6348	1
6352	1
595	1
1230	1
1236	1
1524	1
9034	1
10666	1
953	1
959	1
960	1
961	1
993	1
1027	1
1051	1
100188871	1
1072	1
1073	1
25932	1
84735	1
55748	1
1277	1
1281	1
1282	1
1284	1
1361	1
1373	1
1394	1
1401	1
1490	1
1491	1
1499	1
6376	1
1524	1
3627	1
6387	1
10663	1
1535	1
1588	1
1545	1
1605	1
85507	1
3337	1
10059	1
1400	1
1843	1
1849	1
6993	1
9166	1
1889	1
1906	1
1907	1
1908	1
1909	1
1910	1
100421865	1
1942	1
1950	1
1956	1
440275	1
2006	1
2022	1
2034	1
26284	1
2078	1
2099	1
2100	1
2101	1
2103	1
2104	1
2150	1
125704	1
140623	1
201456	1
114907	1
2273	1
2335	1
2353	1
2355	1
2294	1
2308	1
2309	1
2454	1
2643	1
9518	1
2658	1
8200	1
2744	1
2779	1
10399	1
2852	1
26585	1
2977	1
2982	1
2974	1
2983	1
3037	1
3065	1
9759	1
10014	1
388585	1
10614	1
3082	1
3091	1
3099	1
3106	1
3115	1
3119	1
3123	1
3127	1
3156	1
3162	1
100128044	1
246321	1
3292	1
3028	1
51170	1
51144	1
345275	1
51171	1
3294	1
3293	1
3295	1
8630	1
51478	1
7923	1
3309	1
3351	1
3357	1
3383	1
3397	1
3398	1
3620	1
3480	1
3596	1
3598	1
3552	1
3553	1
3554	1
3569	1
3662	1
23479	1
3741	1
30819	1
3777	1
9424	1
3791	1
9314	1
688	1
57626	1
3913	1
3952	1
3953	1
3956	1
3984	1
100132647	1
100301990	1
100505876	1
100529111	1
4015	1
4016	1
4017	1
84695	1
84171	1
4035	1
7804	1
4128	1
10746	1
4134	1
5594	1
5599	1
4193	1
4205	1
4223	1
9927	1
406919	1
406937	1
406952	1
406987	1
406991	1
406992	1
407009	1
407018	1
407019	1
407032	1
442901	1
494336	1
574411	1
574506	1
406881	1
406882	1
406883	1
406884	1
406885	1
406886	1
406887	1
406888	1
406889	1
406890	1
57591	1
23417	1
4312	1
4312	1
1661	1
4313	1
4314	1
4318	1
10257	1
4485	1
1029	1
51517	1
4773	1
4775	1
4790	1
4791	1
27247	1
116150	1
6548	1
10201	1
9241	1
8996	1
4842	1
4843	1
4843	1
4846	1
4851	1
4854	1
50507	1
4879	1
10956	1
55193	1
57060	1
64881	1
10846	1
5136	1
5137	1
5139	1
8654	1
5154	1
5155	1
5156	1
5159	1
5157	1
5160	1
5163	1
5164	1
5165	1
5166	1
5037	1
5292	1
56937	1
5460	1
5468	1
10891	1
5551	1
5566	1
5578	1
5592	1
5617	1
100653366	1
338091	1
5725	1
5728	1
5739	1
5740	1
5743	1
387	1
388	1
6093	1
9475	1
6159	1
100271310	1
57142	1
6259	1
6262	1
6275	1
1901	1
100861563	1
6331	1
6403	1
29843	1
488	1
5265	1
5054	1
6462	1
134549	1
23410	1
6532	1
780906	1
27031	1
4086	1
4087	1
4088	1
4089	1
4090	1
4091	1
4092	1
4093	1
57154	1
6648	1
8877	1
6696	1
6714	1
6715	1
51188	1
6772	1
6774	1
474171	1
6863	1
6876	1
6901	1
6915	1
6988	1
22813	1
7010	1
7015	1
7040	1
7045	1
7046	1
7048	1
7049	1
7054	1
7057	1
29090	1
7076	1
7099	1
259236	1
3371	1
7124	1
8743	1
8600	1
8742	1
7292	1
11073	1
7157	1
7166	1
7220	1
7222	1
7223	1
7225	1
59341	1
7248	1
10194	1
7057	1
7318	1
10911	1
2837	1
81839	1
7412	1
7422	1
7428	1
7432	1
7433	1
7434	1
3685	1
7450	1
7471	1
7474	1
7494	1
7498	1
331	1
10413	1
284273	1
221074	1
10168	1
51385	1
